Number|Opened|Active|Short description|Caller|Priority|Description|State|Category|Assignment group|Assigned to|Updated|Updated by|Business resolve time|Business impact|Business duration|
INC0000147|2022-04-04 03:55:22|false|DB connection pool exhausted for PeopleSoft CRM|Fred Luddy|1 - Critical|DB connection pool exhausted for PeopleSoft CRM|Closed|Software|Oracle Support|Carmel Overfelt|2022-08-01 01:46:19|admin|3,447||57 Minutes|
INC0000248|2022-04-05 20:40:13|false|Mass delete junk data from the users table in SuccessFactors Succession & Dev...|Quintin Isacson|1 - Critical|Mass delete junk data from the users table in SuccessFactors Succession & Development|Closed|Software|SAP Support|Bess Marso|2022-08-01 01:46:26|admin|0||0 Seconds|
INC0000253|2022-04-05 23:01:51|false|Event not raised as expected while performing action in SAP Payroll|Jim Ranzetti|1 - Critical|Event not raised as expected while performing action in SAP Payroll|Closed|Software|SAP Support|Ed Gompf|2022-08-01 01:46:26|admin|3,432||57 Minutes|
INC0000255|2022-04-05 23:27:05|false|Fidelity Health & Welfare Benefits upgrade to the latest version|Charles Beckley|1 - Critical|Fidelity Health & Welfare Benefits upgrade to the latest version|Closed|Inquiry / Help|Financial Systems Support|Benjamin Schkade|2022-08-01 01:46:26|admin|3,435||57 Minutes|
INC0000257|2022-04-06 01:11:57|false|Database error observed in Oracle Financial Close and Reporting|Charlie Whitherspoon|1 - Critical|Database error observed in Oracle Financial Close and Reporting|Closed|Software|Oracle Support|Carla Humble|2022-08-01 01:46:26|admin|3,439||57 Minutes|
INC0000266|2022-04-06 03:13:08|false|SalesForce Enterprise social network does not trigger notifications after per...|Charles Beckley|1 - Critical|SalesForce Enterprise social network does not trigger notifications after performing action|Closed|Software|Technical Services Support|Angelique Schermerhorn|2022-08-01 01:46:27|admin|10,135||2 Hours 48 Minutes|
INC0000374|2022-04-07 19:59:23|false|Servers not starting - affecting SuccessFactors Succession & Development|Rick Berzle|1 - Critical|Servers not starting - affecting SuccessFactors Succession & Development|Closed|Software|SAP Support|Bertie Luby|2022-08-01 01:46:35|admin|3,433||57 Minutes|
INC0001108|2022-04-19 22:30:47|false|Xignite Exchange and Financial Center Hours, Calendar & Settlement Dates upgr...|Nickolas Khosravi|1 - Critical|Xignite Exchange and Financial Center Hours, Calendar & Settlement Dates upgrade to the latest version|Closed|Inquiry / Help|Financial Systems Support|Hannah Facio|2022-08-01 01:47:32|admin|0||0 Seconds|
INC0001128|2022-04-20 05:13:37|false|Performance degrade observed in PeopleSoft Portals|Bud Richman|1 - Critical|Performance degrade observed in PeopleSoft Portals|Closed|Software|Oracle Support|Bud Richman|2022-08-02 06:07:02|system|0||0 Seconds|
INC0001385|2022-04-24 16:20:14|false|Page hangs while trying to query a record in OpenText Web Content Management ...|Don Goodliffe|1 - Critical|Page hangs while trying to query a record in OpenText Web Content Management Systems|Closed|Software|Technical Services Support|Angelique Schermerhorn|2022-08-01 01:47:52|admin|3,428||57 Minutes|
INC0001415|2022-04-25 02:46:58|false|Error accessing network|Joe Employee|1 - Critical|Error accessing network|Closed|Network|Technical Services Support|Angelo Ferentz|2022-08-01 01:47:55|admin|3,418||56 Minutes|
INC0001447|2022-04-25 17:38:13|false|Unable to Access Retail|Jerrod Bennett|1 - Critical|Unable to Access Retail|Closed|Software|Technical Services Support|Beth Anglin|2022-08-02 07:16:29|system|1,307||21 Minutes|
INC0001488|2022-04-26 10:18:56|false|Network response time is poor|Wayne Webb|1 - Critical|Network response time is poor|Closed|Network|Technical Services Support|Annabelle Coger|2022-08-01 01:47:58|admin|10,137||2 Hours 48 Minutes|
INC0001587|2022-04-28 10:14:30|false|Account locked, pls reset my password for Linkedin Sales Navigator|Diana Temple|1 - Critical|Account locked, pls reset my password for Linkedin Sales Navigator|Closed|Software|HR Systems Support|Alva Pennigton|2022-08-01 01:48:02|admin|0||0 Seconds|
INC0001620|2022-04-28 22:47:13|false|How do I access training for Fidelity Compensation Plans|ITIL User|1 - Critical|How do I access training for Fidelity Compensation Plans|Closed|Inquiry / Help|Financial Systems Support|Avery Parbol|2022-08-01 01:48:03|admin|3,420||57 Minutes|
INC0001693|2022-04-30 06:44:40|false|Unable to Access Oracle Fin Collections|David Dan|1 - Critical|Unable to Access Oracle Fin Collections|Closed|Software|Oracle Support|Carmella Wishman|2022-08-01 01:48:06|admin|3,426||57 Minutes|
INC0001724|2022-04-30 18:49:01|false|Performance degrade observed in SNOW IT Operations Management|Luke Wilson|1 - Critical|Performance degrade observed in SNOW IT Operations Management|Closed|Software|ServiceNow Systems Support|Billie Cowley|2022-08-01 01:48:07|admin|3,417||56 Minutes|
INC0001725|2022-04-30 19:07:13|false|Application response time is poor when performing any action in Eloqua Sales ...|Dennis Millar|1 - Critical|Application response time is poor when performing any action in Eloqua Sales Enablement|Closed|Software|Marketing Systems Support|Bette Barcelona|2022-08-01 01:48:07|admin|10,139||2 Hours 48 Minutes|
INC0001850|2022-05-02 20:44:25|false|Tablespace to be extended for InsideSales Lead Management|Sam Sorokin|1 - Critical|Tablespace to be extended for InsideSales Lead Management|Closed|Software|Sales Systems Support|Callie Leboeuf|2022-08-01 01:48:11|admin|3,431||57 Minutes|
INC0001853|2022-05-02 23:00:51|false|How do I perform this action in Xignite Exchange and Financial Center Hours, ...|Luke Wilson|1 - Critical|How do I perform this action in Xignite Exchange and Financial Center Hours, Calendar & Settlement Dates|Closed|Inquiry / Help|Financial Systems Support|Benjamin Schkade|2022-08-01 01:48:12|admin|3,437||57 Minutes|
INC0001856|2022-05-02 23:43:06|false|Performance degrade observed in Docusign for Finance|John Retak|1 - Critical|Performance degrade observed in Docusign for Finance|Closed|Software|Technical Services Support|Beth Anglin|2022-08-01 01:48:12|admin|0||0 Seconds|
INC0001857|2022-05-02 23:49:28|false|Install and configure local client for Docusign for Product Management|David Loo|1 - Critical|Install and configure local client for Docusign for Product Management|Closed|Software|Technical Services Support|Beverley Bunche|2022-08-01 01:48:12|admin|3,442||57 Minutes|
INC0001863|2022-05-03 01:49:02|false|Database error observed in SNOW IT Operations Management|Fred Luddy|1 - Critical|Database error observed in SNOW IT Operations Management|Closed|Software|ServiceNow Systems Support|Boris Catino|2022-08-01 01:48:12|admin|0||0 Seconds|
INC0001966|2022-05-04 21:57:30|false|DB connection pool exhausted for Eloqua Campaign Management|Margaret Grey|1 - Critical|DB connection pool exhausted for Eloqua Campaign Management|Closed|Software|Marketing Systems Support|Bette Barcelona|2022-08-01 01:48:15|admin|3,435||57 Minutes|
INC0001967|2022-05-04 21:58:35|false|Test Instance not provisioned for Oracle Fin Expenses |Paul Shafer|1 - Critical|Test Instance not provisioned for Oracle Fin Expenses |Closed|Software|Oracle Support|Callie Leboeuf|2022-08-01 01:48:15|admin|3,438||57 Minutes|
INC0001969|2022-05-04 23:10:01|false|Page hangs while trying to query a record in Retail POS (Point of Sale)|Diana Temple|1 - Critical|Page hangs while trying to query a record in Retail POS (Point of Sale)|Closed|Software|Technical Services Support|Beth Anglin|2022-08-01 01:48:16|admin|10,136||2 Hours 48 Minutes|
INC0001970|2022-05-04 23:10:24|false|Application response time is poor when performing any action in Jive-xfor Mar...|Don Goodliffe|1 - Critical|Application response time is poor when performing any action in Jive-xfor Marketing Engagement|Closed|Software|Marketing Operations|Billie Cowley|2022-08-01 01:48:16|admin|3,441||57 Minutes|
INC0001972|2022-05-04 23:33:55|false|Getting automatically logged out from Saba Recruiting@Work|Bud Richman|1 - Critical|Getting automatically logged out from Saba Recruiting@Work|Closed|Software|Sales Systems Support|Bryant Bouliouris|2022-08-01 01:48:16|admin|0||0 Seconds|
INC0001976|2022-05-05 01:35:55|false|Error opening page in Concur Travel Booking System|Marscha Gilles-Piecukonis|1 - Critical|Error opening page in Concur Travel Booking System|Closed|Software|Financial Systems Support|Benjamin Schkade|2022-08-01 01:48:16|admin|10,135||2 Hours 48 Minutes|
INC0002084|2022-05-06 20:00:05|false|Performance degrade observed in Jive-nfor Employee Support|Rob Woodbyrne|1 - Critical|Performance degrade observed in Jive-nfor Employee Support|Closed|Software|Technical Services Support|Beth Anglin|2022-08-01 01:48:20|admin|3,444||57 Minutes|
INC0002197|2022-05-08 19:55:17|false|Servers not starting - affecting Jive-nfor Employee Support|Rob Woodbyrne|1 - Critical|Servers not starting - affecting Jive-nfor Employee Support|Closed|Software|Technical Services Support|Angelo Ferentz|2022-08-01 01:48:25|admin|0||0 Seconds|
INC0002200|2022-05-08 22:20:55|false|Install and configure local client for Docusign for Support|Guest|1 - Critical|Install and configure local client for Docusign for Support|Closed|Software|Technical Services Support|Bess Marso|2022-08-01 01:48:26|admin|3,439||57 Minutes|
INC0002258|2022-05-09 22:56:34|false|Event not raised as expected while performing action in Okta Mobility Management|Rick Berzle|1 - Critical|Event not raised as expected while performing action in Okta Mobility Management|Closed|Software|HR Systems Support|Randal Gansen|2022-08-01 01:48:29|admin|16,471||4 Hours 34 Minutes|
INC0002318|2022-05-10 22:39:47|false|Please grant me additional roles in SalesForce AppExchange|Nelly Jakuboski|1 - Critical|Please grant me additional roles in SalesForce AppExchange|Closed|Software|Technical Services Support|Amos Linnan|2022-08-01 01:48:31|admin|0||0 Seconds|
INC0002358|2022-05-11 20:39:47|false|Servers not starting - affecting Tableau Server|Charlie Whitherspoon|1 - Critical|Servers not starting - affecting Tableau Server|Closed|Software|Technical Services Support|Beth Anglin|2022-08-01 01:48:33|admin|0||0 Seconds|
INC0002647|2022-05-16 14:39:25|false|Oracle Taleo Onboarding Service Instance is down|Pierre Salera|1 - Critical|Oracle Taleo Onboarding Service Instance is down|Closed|Software|Oracle Support|Carla Humble|2022-07-31 02:45:14|maint|761||12 Minutes|
INC0002831|2022-05-19 17:34:42|false|Oracle Fin Collections Critical alarm affecting your instance - under investi...|Margaret Grey|1 - Critical|Oracle Fin Collections Critical alarm affecting your instance - under investigation|Closed|Software|Oracle Support|Byron Fortuna|2022-08-02 06:41:37|system|0||0 Seconds|
INC0003121|2022-05-24 16:04:43|false|Install and configure local client for SuccessFactors Workforce Planning|Joe Employee|1 - Critical|Install and configure local client for SuccessFactors Workforce Planning|Closed|Software|SAP Support|Beth Anglin|2022-08-01 01:49:06|admin|10,139||2 Hours 48 Minutes|
INC0003198|2022-05-26 00:54:31|false|Test Instance not provisioned for SAP Sales and Distribution |Mary Cruse|1 - Critical|Test Instance not provisioned for SAP Sales and Distribution |Closed|Software|SAP Support|Bertram Quertermous|2022-08-01 01:49:10|admin|10,107||2 Hours 48 Minutes|
INC0003227|2022-05-26 11:02:07|false|Results not as per expectation after performing the documented steps in Secur...|Charlie Whitherspoon|1 - Critical|Results not as per expectation after performing the documented steps in Securities Lending|Closed|Software|Financial Systems Support|Benjamin Schkade|2022-08-01 01:49:11|admin|3,417||56 Minutes|
INC0003264|2022-05-27 02:00:12|false|Request an account to be created for Hoovers Global business data subscription|Charlie Whitherspoon|1 - Critical|Request an account to be created for Hoovers Global business data subscription|Closed|Inquiry / Help|Financial Systems Support|Hannah Facio|2022-08-01 01:49:13|admin|0||0 Seconds|
INC0003309|2022-05-27 18:28:13|false|How do I access training for Xignite Hourly currency exchange rate|David Dan|1 - Critical|How do I access training for Xignite Hourly currency exchange rate|Closed|Inquiry / Help|Financial Systems Support|Barton Friesner|2022-08-01 01:49:15|admin|10,107||2 Hours 48 Minutes|
INC0003338|2022-05-28 02:10:36|false|Workday Benefits Critical alarm affecting your instance - under investigation|Roger Rasmussen|1 - Critical|Workday Benefits Critical alarm affecting your instance - under investigation|Closed|Software|HR Systems Support|Allie Pumphrey|2022-08-01 01:49:16|admin|10,139||2 Hours 48 Minutes|
INC0003411|2022-05-29 10:29:28|false|Retail crashes when I try to launch it|Chuck Farley|1 - Critical|Retail crashes when I try to launch it|Closed|Software|Technical Services Support|Angelique Schermerhorn|2022-08-01 01:49:19|admin|3,426||57 Minutes|
INC0003573|2022-06-01 03:56:14|false|Docusign for Product Management Critical alarm affecting your instance - unde...|Diana Temple|1 - Critical|Docusign for Product Management Critical alarm affecting your instance - under investigation|Closed|Software|Technical Services Support|Amos Linnan|2022-08-01 01:49:26|admin|3,441||57 Minutes|
INC0003688|2022-06-03 04:59:15|false|SalesForce Community Connect Instance is down|Ted Bozelle|1 - Critical|SalesForce Community Connect Instance is down|Closed|Software|Technical Services Support|Amos Linnan|2022-08-01 01:49:30|admin|0||0 Seconds|
INC0003689|2022-06-03 05:10:30|false|Application response time is poor when performing any action in Jobvite Campa...|System Administrator|1 - Critical|Application response time is poor when performing any action in Jobvite Campaign Management|Closed|Software|HR Systems Support|Patty Bernasconi|2022-08-01 01:49:30|admin|3,441||57 Minutes|
INC0003694|2022-06-03 07:13:54|false|Performance degrade observed in HireRight Identity Checks|ITIL User|1 - Critical|Performance degrade observed in HireRight Identity Checks|Closed|Software|HR Systems Support|Randal Gansen|2022-08-01 01:49:31|admin|3,446||57 Minutes|
INC0003808|2022-06-05 06:04:13|false|SuccessFactors Workforce Analytics Critical alarm affecting your instance - u...|Rob Woodbyrne|1 - Critical|SuccessFactors Workforce Analytics Critical alarm affecting your instance - under investigation|Closed|Software|SAP Support|Bess Marso|2022-08-01 01:49:37|admin|3,440||57 Minutes|
INC0003809|2022-06-05 07:40:36|false|Test Instance not provisioned for Docusign for Support |Luke Wilson|1 - Critical|Test Instance not provisioned for Docusign for Support |Closed|Software|Technical Services Support|Eduardo Bellendir|2022-08-01 01:49:37|admin|3,442||57 Minutes|
INC0003810|2022-06-05 07:58:57|false|Database error observed in InsideSales Power Dialler|Natasha Ingram|1 - Critical|Database error observed in InsideSales Power Dialler|Closed|Software|Sales Systems Support|Callie Leboeuf|2022-08-01 01:49:37|admin|3,443||57 Minutes|
INC0003929|2022-06-07 04:49:33|false|Application response time is poor when performing any action in ADP Payroll S...|Jim Ranzetti|1 - Critical|Application response time is poor when performing any action in ADP Payroll Services|Closed|Software|HR Systems Support|Alva Pennigton|2022-08-01 01:49:41|admin|3,446||57 Minutes|
INC0004141|2022-06-10 19:05:27|false|Okta Identity management Instance relocation from US datacenter to Hongkong d...|Don Goodliffe|1 - Critical|Okta Identity management Instance relocation from US datacenter to Hongkong datacentre|Closed|Software|HR Systems Support|Patty Bernasconi|2022-08-01 01:49:49|admin|0||0 Seconds|
INC0004282|2022-06-13 08:28:20|false|Database error observed in Oracle Taleo Onboarding Service|David Loo|1 - Critical|Database error observed in Oracle Taleo Onboarding Service|Closed|Software|Oracle Support|Bud Richman|2022-08-01 01:49:55|admin|9,428||2 Hours 37 Minutes|
INC0004357|2022-06-14 16:19:28|false|Database error observed in Oracle Planning|Yvette Kokoska|1 - Critical|Database error observed in Oracle Planning|Closed|Software|Oracle Support|Candice Bruckman|2022-08-01 01:49:57|admin|0||0 Seconds|
INC0004447|2022-06-16 06:14:18|false|Application response time is poor when performing any action in PeopleSoft Fi...|Freeman Soula|1 - Critical|Application response time is poor when performing any action in PeopleSoft Financials|Closed|Software|Oracle Support|Bud Richman|2022-06-16 09:35:35|system|23,508||6 Hours 31 Minutes|
INC0004530|2022-06-17 18:54:47|false|Google Mobile Analytics Instance relocation from US datacenter to Hongkong da...|Rebeca Brumet|1 - Critical|Google Mobile Analytics Instance relocation from US datacenter to Hongkong datacentre|Closed|Software|Technical Services Support|Beth Anglin|2022-08-01 01:50:05|admin|0||0 Seconds|
INC0004546|2022-06-18 00:21:35|false|Oracle Strategic Sourcing crashes when I try to launch it|Christen Mitchell|1 - Critical|Oracle Strategic Sourcing crashes when I try to launch it|Closed|Software|Oracle Support|Candice Bruckman|2022-08-02 05:49:03|system|0||0 Seconds|
INC0004807|2022-06-22 18:52:45|false|Network response time is poor|Charlie Whitherspoon|1 - Critical|Network response time is poor|Closed|Network|Technical Services Support|Beverley Bunche|2022-08-01 01:50:17|admin|3,423||57 Minutes|
INC0004810|2022-06-22 20:05:42|false|Event not raised as expected while performing action in HireRight Reports|Christen Mitchell|1 - Critical|Event not raised as expected while performing action in HireRight Reports|Closed|Software|HR Systems Support|Chad Araiza|2022-08-01 01:50:17|admin|3,427||57 Minutes|
INC0004842|2022-06-23 08:57:21|false|Application response time is poor when performing any action in SuccessFactor...|Luke Wilson|1 - Critical|Application response time is poor when performing any action in SuccessFactors Learning|Closed|Software|SAP Support|Bertie Luby|2022-08-01 01:50:18|admin|10,138||2 Hours 48 Minutes|
INC0004922|2022-06-24 17:22:16|false|Tablespace to be extended for Oracle Taleo Social Sourcing Service|Margaret Grey|1 - Critical|Tablespace to be extended for Oracle Taleo Social Sourcing Service|Closed|Software|Oracle Support|Callie Leboeuf|2022-08-01 01:50:21|admin|3,423||57 Minutes|
INC0004923|2022-06-24 17:38:03|false|Install and configure local client for Google Mobile Analytics|George Grey|1 - Critical|Install and configure local client for Google Mobile Analytics|Closed|Software|Technical Services Support|Bette Barcelona|2022-08-01 01:50:22|admin|3,425||57 Minutes|
INC0004925|2022-06-24 18:38:44|false|SuccessFactors Performance & Goals crashes when I try to launch it|Olga Yarovenko|1 - Critical|SuccessFactors Performance & Goals crashes when I try to launch it|Closed|Software|SAP Support|Amos Linnan|2022-08-01 01:50:22|admin|3,427||57 Minutes|
INC0004955|2022-06-25 06:46:38|false|How do I access training for Xignite Company, Market and Industry News Headlines|Megan Burke (Portfolio Manager)|1 - Critical|How do I access training for Xignite Company, Market and Industry News Headlines|Closed|Inquiry / Help|Financial Systems Support|Audra Cantu|2022-08-01 01:50:23|admin|3,417||56 Minutes|
INC0005024|2022-06-26 12:03:30|false|Adobe Photoshop & Digital Publishing Instance is down|David Loo|1 - Critical|Adobe Photoshop & Digital Publishing Instance is down|Closed|Software|Marketing Systems Support|Billie Tinnes|2022-08-01 01:50:25|admin|3,424||57 Minutes|
INC0005028|2022-06-26 13:00:00|false|Request an account to be created for DNB Marketing Lists|Fred Luddy|1 - Critical|Request an account to be created for DNB Marketing Lists|Closed|Inquiry / Help|Financial Systems Support|Benjamin Schkade|2022-08-01 01:50:25|admin|3,430||57 Minutes|
INC0005057|2022-06-27 01:09:54|false|Please grant me additional roles in Eloqua Customer Lifecycle Marketing|Diana Temple|1 - Critical|Please grant me additional roles in Eloqua Customer Lifecycle Marketing|Closed|Software|Marketing Systems Support|Bette Barcelona|2022-08-01 01:50:27|admin|10,139||2 Hours 48 Minutes|
INC0005058|2022-06-27 01:29:53|false|Unable to Access OpenText Web & Social Analytics|Natasha Ingram|1 - Critical|Unable to Access OpenText Web & Social Analytics|Closed|Software|Technical Services Support|Annabelle Coger|2022-08-01 01:50:27|admin|0||0 Seconds|
INC0005130|2022-06-28 06:41:23|false|Event not raised as expected while performing action in Retail Client Registr...|Fred Luddy|1 - Critical|Event not raised as expected while performing action in Retail Client Registration|Closed|Software|Technical Services Support|Annabelle Coger|2022-08-01 01:50:30|admin|3,428||57 Minutes|
INC0005160|2022-06-28 19:43:15|false|Servers not starting - affecting Okta Mobility Management|Jerrod Bennett|1 - Critical|Servers not starting - affecting Okta Mobility Management|Closed|Software|HR Systems Support|Chad Araiza|2022-08-01 01:50:31|admin|0||0 Seconds|
INC0005285|2022-06-30 22:18:12|false|Database error observed in SNOW HI|Christen Mitchell|1 - Critical|Database error observed in SNOW HI|Closed|Software|ServiceNow Systems Support|Boris Catino|2022-08-01 01:50:36|admin|3,433||57 Minutes|
INC0005288|2022-07-01 00:00:55|false|Results not as per expectation after performing the documented steps in SNOW ...|Charles Beckley|1 - Critical|Results not as per expectation after performing the documented steps in SNOW Enterprise Service Management|Closed|Software|ServiceNow Systems Support|Cherie Schronce|2022-08-01 01:50:36|admin|3,439||57 Minutes|
INC0005406|2022-07-02 22:23:56|false|Request account termination for Fidelity Compensation Plans|Beth Anglin|1 - Critical|Request account termination for Fidelity Compensation Plans|Closed|Inquiry / Help|Financial Systems Support|Bart Hachey|2022-08-01 01:50:41|admin|3,432||57 Minutes|
INC0005407|2022-07-02 22:30:30|false|How do I access training for Xignite U.S. and Global Real Time Quotes|Margaret Grey|1 - Critical|How do I access training for Xignite U.S. and Global Real Time Quotes|Closed|Inquiry / Help|Financial Systems Support|Athena Fontanilla|2022-08-01 01:50:41|admin|0||0 Seconds|
INC0005409|2022-07-02 22:55:05|false|Application response time is poor when performing any action in Concur Travel...|Paul Shafer|1 - Critical|Application response time is poor when performing any action in Concur Travel & Expense Mobile application|Closed|Software|Financial Systems Support|Athena Fontanilla|2022-08-01 01:50:41|admin|3,438||57 Minutes|
INC0005416|2022-07-03 01:50:47|false|Warning displayed while launching Concur Expense Management|Fred Luddy|1 - Critical|Warning displayed while launching Concur Expense Management|Closed|Software|Financial Systems Support|Barbara Hindley|2022-08-01 01:50:41|admin|3,446||57 Minutes|
INC0005417|2022-07-03 02:10:38|false|Install and configure local client for SalesForce Community Connect|Taylor Vreeland|1 - Critical|Install and configure local client for SalesForce Community Connect|Closed|Software|Technical Services Support|Bette Barcelona|2022-08-01 01:50:41|admin|0||0 Seconds|
INC0005501|2020-08-05 21:25:42|false|Device Failure for vManage_10001|Event Management |1 - Critical|Critical  alert [Alert0010019]  . Created on CI: [vManage_10001] . Metric name is [] of type [] from data source [].|Closed|SD WAN|L3 Network Engineering|Serj Tankian|2023-05-11 09:00:06|system|0||0 Seconds|
INC0005502|2020-08-05 22:03:27|false|Link Failure for SF SD WAN Edge01|Event Management |1 - Critical|Critical  alert [Alert0010022]  . Created on CI: [SF SD WAN Edge01] . Metric name is [] of type [] from data source [].|Closed|SD WAN|L3 Network Engineering|Serj Tankian|2023-05-11 09:00:06|system|0||0 Seconds|
INC0005503|2020-08-05 23:35:58|false|Protocol Failure for DE SD WAN Edge01|Event Management |1 - Critical|Critical  alert [Alert0010023]  . Created on CI: [DE SD WAN Edge01] . Metric name is [] of type [] from data source [].|Closed|SD WAN|L3 Network Engineering|Serj Tankian|2023-05-11 09:00:02|system|0||0 Seconds|
INC0005504|2020-08-06 00:15:29|false|Soft-WAN Link Failure for KI SD WAN Edge01|Event Management |1 - Critical|Critical  alert [Alert0010025]  . Created on CI: [KI SD WAN Edge01] . Metric name is [] of type [] from data source [].|Closed|SD WAN|L3 Network Engineering|Serj Tankian|2023-05-11 09:00:05|system|0||0 Seconds|
INC0005505|2020-08-05 21:45:13|false|Software Failure for vManage_10001|Event Management |1 - Critical|Critical  alert [Alert0010021]  . Created on CI: [vManage_10001] . Metric name is [] of type [] from data source [].|Closed|SD WAN|L3 Network Engineering|Serj Tankian|2023-05-11 09:00:07|system|0||0 Seconds|
INC0005520|2022-07-04 17:53:14|false|Mass delete junk data from the users table in Eloqua Lead Management|Margaret Grey|1 - Critical|Mass delete junk data from the users table in Eloqua Lead Management|Closed|Software|Marketing Systems Support|Bette Barcelona|2022-08-01 01:50:45|admin|3,432||57 Minutes|
INC0005527|2022-07-04 21:43:37|false|DB connection pool exhausted for Concur Expense Management|Ron Kettering|1 - Critical|DB connection pool exhausted for Concur Expense Management|Closed|Software|Financial Systems Support|Benjamin Schkade|2022-08-01 01:50:45|admin|0||0 Seconds|
INC0005528|2022-07-04 22:22:28|false|How do I perform this action in DNB Business Credit Reports|Asset Manager|1 - Critical|How do I perform this action in DNB Business Credit Reports|Closed|Inquiry / Help|Financial Systems Support|Benjamin Schkade|2022-08-01 01:50:45|admin|3,444||57 Minutes|
INC0005637|2022-07-06 20:30:54|false|How do I access training for Xignite Company, Market and Industry News Headlines|SOAP Guest|1 - Critical|How do I access training for Xignite Company, Market and Industry News Headlines|Closed|Inquiry / Help|Financial Systems Support|Bert Schadle|2022-08-01 01:50:49|admin|3,433||57 Minutes|
INC0005640|2022-07-06 21:16:37|false|DB connection pool exhausted for SAP Financial Accounting|Jim Ranzetti|1 - Critical|DB connection pool exhausted for SAP Financial Accounting|Closed|Software|SAP Support|Beth Anglin|2022-08-01 01:50:49|admin|0||0 Seconds|
INC0005645|2022-07-06 22:28:12|false|How do I perform this action in Fidelity Stock Plan Services|Margaret Grey|1 - Critical|How do I perform this action in Fidelity Stock Plan Services|Closed|Inquiry / Help|Financial Systems Support|Bernard Laboy|2022-08-01 01:50:49|admin|3,444||57 Minutes|
INC0005647|2022-07-07 02:04:23|false|Application response time is poor when performing any action in Tableau Server|David Dan|1 - Critical|Application response time is poor when performing any action in Tableau Server|Closed|Software|Technical Services Support|Angelique Schermerhorn|2022-08-01 01:50:49|admin|0||0 Seconds|
INC0005648|2022-07-07 02:12:55|false|Warning displayed while launching ADP Global HCM Analytics|John Retak|1 - Critical|Warning displayed while launching ADP Global HCM Analytics|Closed|Software|HR Systems Support|Chad Miklas|2022-08-01 01:50:49|admin|3,447||57 Minutes|
INC0005914|2022-07-11 14:58:03|false|Application response time is poor when performing any action in Oracle Financ...|Isiah Phernetton|1 - Critical|Application response time is poor when performing any action in Oracle Financial Close and Reporting|Closed|Software|Oracle Support|Callie Leboeuf|2022-08-01 00:16:03|maint|12,663||3 Hours 31 Minutes|
